epoch=001  L2=0.202979  cosine=0.863229
epoch=002  L2=0.400374  cosine=0.659135
epoch=003  L2=0.597741  cosine=0.510366
epoch=004  L2=0.795102  cosine=0.411105
epoch=005  L2=0.992408  cosine=0.343015
epoch=006  L2=1.189665  cosine=0.294212
epoch=007  L2=1.386880  cosine=0.257800
epoch=008  L2=1.584094  cosine=0.229704
epoch=009  L2=1.781307  cosine=0.207420
epoch=010  L2=1.978517  cosine=0.189342
epoch=011  L2=2.175671  cosine=0.174399
epoch=012  L2=2.372822  cosine=0.161846
epoch=013  L2=2.569965  cosine=0.151157
epoch=014  L2=2.767101  cosine=0.141949
epoch=015  L2=2.964225  cosine=0.133936
epoch=016  L2=3.161338  cosine=0.126901
epoch=017  L2=3.358438  cosine=0.120676
epoch=018  L2=3.555521  cosine=0.115130
epoch=019  L2=3.752502  cosine=0.110160
epoch=020  L2=3.949490  cosine=0.105679
epoch=021  L2=4.146436  cosine=0.101619
epoch=022  L2=4.343391  cosine=0.097922
epoch=023  L2=4.540352  cosine=0.094542
epoch=024  L2=4.737267  cosine=0.091441
epoch=025  L2=4.934132  cosine=0.088586
epoch=026  L2=5.131056  cosine=0.085947
epoch=027  L2=5.327923  cosine=0.083502
epoch=028  L2=5.524792  cosine=0.081231
epoch=029  L2=5.721655  cosine=0.079114
epoch=030  L2=5.918454  cosine=0.077138
epoch=031  L2=6.115151  cosine=0.075289
epoch=032  L2=6.311881  cosine=0.073555
epoch=033  L2=6.508667  cosine=0.071924
epoch=034  L2=6.705441  cosine=0.070388
epoch=035  L2=6.902199  cosine=0.068939
epoch=036  L2=7.098938  cosine=0.067570
epoch=037  L2=7.295665  cosine=0.066276
epoch=038  L2=7.492383  cosine=0.065050
epoch=039  L2=7.689091  cosine=0.063886
epoch=040  L2=7.885781  cosine=0.062779
epoch=041  L2=8.082404  cosine=0.061726
epoch=042  L2=8.279015  cosine=0.060724
epoch=043  L2=8.475615  cosine=0.059768
epoch=044  L2=8.672197  cosine=0.058855
epoch=045  L2=8.868764  cosine=0.057982
epoch=046  L2=9.065266  cosine=0.057148
epoch=047  L2=9.261731  cosine=0.056349
epoch=048  L2=9.458215  cosine=0.055583
epoch=049  L2=9.654647  cosine=0.054848
epoch=050  L2=9.850961  cosine=0.054143
epoch=051  L2=10.047273  cosine=0.053465
epoch=052  L2=10.243579  cosine=0.052813
epoch=053  L2=10.439833  cosine=0.052186
epoch=054  L2=10.636085  cosine=0.051582
epoch=055  L2=10.832340  cosine=0.051000
epoch=056  L2=11.028593  cosine=0.050438
epoch=057  L2=11.224842  cosine=0.049896
epoch=058  L2=11.421092  cosine=0.049373
epoch=059  L2=11.617343  cosine=0.048867
epoch=060  L2=11.813591  cosine=0.048378
epoch=061  L2=12.009828  cosine=0.047905
epoch=062  L2=12.206055  cosine=0.047447
epoch=063  L2=12.402240  cosine=0.047004
epoch=064  L2=12.598357  cosine=0.046575
epoch=065  L2=12.794466  cosine=0.046158
epoch=066  L2=12.990567  cosine=0.045755
epoch=067  L2=13.186620  cosine=0.045364
epoch=068  L2=13.382657  cosine=0.044983
epoch=069  L2=13.578750  cosine=0.044613
epoch=070  L2=13.774767  cosine=0.044253
epoch=071  L2=13.970761  cosine=0.043904
epoch=072  L2=14.166742  cosine=0.043566
epoch=073  L2=14.362772  cosine=0.043237
epoch=074  L2=14.558805  cosine=0.042918
epoch=075  L2=14.754753  cosine=0.042607
epoch=076  L2=14.950660  cosine=0.042304
epoch=077  L2=15.146521  cosine=0.042008
epoch=078  L2=15.342376  cosine=0.041719
epoch=079  L2=15.538169  cosine=0.041436
epoch=080  L2=15.733896  cosine=0.041161
epoch=081  L2=15.929589  cosine=0.040894
epoch=082  L2=16.125284  cosine=0.040634
epoch=083  L2=16.321032  cosine=0.040380
epoch=084  L2=16.516808  cosine=0.040133
epoch=085  L2=16.712534  cosine=0.039891
epoch=086  L2=16.908260  cosine=0.039653
epoch=087  L2=17.103962  cosine=0.039420
epoch=088  L2=17.299631  cosine=0.039192
epoch=089  L2=17.495226  cosine=0.038971
epoch=090  L2=17.690805  cosine=0.038755
epoch=091  L2=17.886391  cosine=0.038544
epoch=092  L2=18.081985  cosine=0.038338
epoch=093  L2=18.277536  cosine=0.038136
epoch=094  L2=18.473097  cosine=0.037938
epoch=095  L2=18.668640  cosine=0.037743
epoch=096  L2=18.864153  cosine=0.037551
epoch=097  L2=19.059628  cosine=0.037364
epoch=098  L2=19.255093  cosine=0.037182
epoch=099  L2=19.450556  cosine=0.037004
epoch=100  L2=19.645987  cosine=0.036830
