epoch=001  L2=0.010490  cosine=0.999537
epoch=002  L2=0.013382  cosine=0.999247
epoch=003  L2=0.014709  cosine=0.999092
epoch=004  L2=0.015578  cosine=0.998983
epoch=005  L2=0.016541  cosine=0.998853
epoch=006  L2=0.019909  cosine=0.998340
epoch=007  L2=0.022708  cosine=0.997841
epoch=008  L2=0.024248  cosine=0.997539
epoch=009  L2=0.024860  cosine=0.997414
epoch=010  L2=0.024901  cosine=0.997403
epoch=011  L2=0.023955  cosine=0.997590
epoch=012  L2=0.023079  cosine=0.997760
epoch=013  L2=0.022638  cosine=0.997843
epoch=014  L2=0.021799  cosine=0.997998
epoch=015  L2=0.022232  cosine=0.997917
epoch=016  L2=0.022372  cosine=0.997886
epoch=017  L2=0.022741  cosine=0.997815
epoch=018  L2=0.023754  cosine=0.997624
epoch=019  L2=0.028103  cosine=0.996699
epoch=020  L2=0.032130  cosine=0.995704
epoch=021  L2=0.034838  cosine=0.994956
epoch=022  L2=0.036588  cosine=0.994429
epoch=023  L2=0.037893  cosine=0.994023
epoch=024  L2=0.038555  cosine=0.993803
epoch=025  L2=0.038740  cosine=0.993734
epoch=026  L2=0.040830  cosine=0.993022
epoch=027  L2=0.042405  cosine=0.992467
epoch=028  L2=0.042516  cosine=0.992425
epoch=029  L2=0.042805  cosine=0.992323
epoch=030  L2=0.043225  cosine=0.992174
epoch=031  L2=0.044323  cosine=0.991773
epoch=032  L2=0.044965  cosine=0.991533
epoch=033  L2=0.044571  cosine=0.991666
epoch=034  L2=0.044878  cosine=0.991542
epoch=035  L2=0.045904  cosine=0.991153
epoch=036  L2=0.049230  cosine=0.989840
epoch=037  L2=0.052440  cosine=0.988493
epoch=038  L2=0.053922  cosine=0.987840
epoch=039  L2=0.053440  cosine=0.988058
epoch=040  L2=0.057008  cosine=0.986421
epoch=041  L2=0.059562  cosine=0.985191
epoch=042  L2=0.060489  cosine=0.984733
epoch=043  L2=0.055893  cosine=0.986971
epoch=044  L2=0.054022  cosine=0.987818
epoch=045  L2=0.053781  cosine=0.987927
epoch=046  L2=0.054396  cosine=0.987654
epoch=047  L2=0.054671  cosine=0.987528
epoch=048  L2=0.055031  cosine=0.987350
epoch=049  L2=0.055581  cosine=0.987093
epoch=050  L2=0.056102  cosine=0.986849
epoch=051  L2=0.056466  cosine=0.986682
epoch=052  L2=0.056509  cosine=0.986663
epoch=053  L2=0.056444  cosine=0.986687
epoch=054  L2=0.056019  cosine=0.986881
epoch=055  L2=0.054790  cosine=0.987438
epoch=056  L2=0.055143  cosine=0.987278
epoch=057  L2=0.055228  cosine=0.987241
epoch=058  L2=0.055106  cosine=0.987300
epoch=059  L2=0.055288  cosine=0.987221
epoch=060  L2=0.055317  cosine=0.987203
epoch=061  L2=0.055813  cosine=0.986967
epoch=062  L2=0.056536  cosine=0.986630
epoch=063  L2=0.057082  cosine=0.986375
epoch=064  L2=0.057568  cosine=0.986136
epoch=065  L2=0.057637  cosine=0.986102
epoch=066  L2=0.057283  cosine=0.986266
epoch=067  L2=0.056823  cosine=0.986485
epoch=068  L2=0.055553  cosine=0.987066
epoch=069  L2=0.054314  cosine=0.987611
epoch=070  L2=0.054132  cosine=0.987686
epoch=071  L2=0.054253  cosine=0.987645
epoch=072  L2=0.054305  cosine=0.987628
epoch=073  L2=0.054309  cosine=0.987631
epoch=074  L2=0.054584  cosine=0.987518
epoch=075  L2=0.055109  cosine=0.987288
epoch=076  L2=0.054981  cosine=0.987341
epoch=077  L2=0.054962  cosine=0.987341
epoch=078  L2=0.054870  cosine=0.987378
epoch=079  L2=0.054290  cosine=0.987635
epoch=080  L2=0.053990  cosine=0.987763
epoch=081  L2=0.054146  cosine=0.987689
epoch=082  L2=0.054227  cosine=0.987657
epoch=083  L2=0.054656  cosine=0.987472
epoch=084  L2=0.054855  cosine=0.987383
epoch=085  L2=0.054753  cosine=0.987427
epoch=086  L2=0.055379  cosine=0.987130
epoch=087  L2=0.056642  cosine=0.986552
epoch=088  L2=0.057232  cosine=0.986275
epoch=089  L2=0.057475  cosine=0.986156
epoch=090  L2=0.057319  cosine=0.986232
epoch=091  L2=0.057259  cosine=0.986262
epoch=092  L2=0.057531  cosine=0.986152
epoch=093  L2=0.057685  cosine=0.986086
epoch=094  L2=0.057754  cosine=0.986050
epoch=095  L2=0.058735  cosine=0.985585
epoch=096  L2=0.059994  cosine=0.984981
epoch=097  L2=0.060700  cosine=0.984631
epoch=098  L2=0.060605  cosine=0.984670
epoch=099  L2=0.061813  cosine=0.984050
epoch=100  L2=0.063655  cosine=0.983098
