epoch=001  L2=0.030213  cosine=0.996156
epoch=002  L2=0.050474  cosine=0.989457
epoch=003  L2=0.056613  cosine=0.986714
epoch=004  L2=0.067303  cosine=0.981382
epoch=005  L2=0.068775  cosine=0.980553
epoch=006  L2=0.064705  cosine=0.982798
epoch=007  L2=0.069864  cosine=0.980008
epoch=008  L2=0.077914  cosine=0.975322
epoch=009  L2=0.075899  cosine=0.976513
epoch=010  L2=0.077186  cosine=0.975714
epoch=011  L2=0.077142  cosine=0.975746
epoch=012  L2=0.087769  cosine=0.968766
epoch=013  L2=0.087349  cosine=0.969198
epoch=014  L2=0.090000  cosine=0.967509
epoch=015  L2=0.085026  cosine=0.970875
epoch=016  L2=0.085655  cosine=0.970440
epoch=017  L2=0.087826  cosine=0.969134
epoch=018  L2=0.088357  cosine=0.968758
epoch=019  L2=0.093281  cosine=0.965321
epoch=020  L2=0.102541  cosine=0.958598
