epoch=000  avg_pos_loss=0.186232  avg_neg_loss=0.000000
epoch=001  avg_abs_loss=0.191471  avg_rank_loss=0.041434  steps=100
epoch=002  avg_abs_loss=0.190762  avg_rank_loss=0.042714  steps=100
epoch=003  avg_abs_loss=0.197381  avg_rank_loss=0.046321  steps=100
epoch=004  avg_abs_loss=0.201224  avg_rank_loss=0.050124  steps=100
epoch=005  avg_abs_loss=0.199579  avg_rank_loss=0.046138  steps=100
epoch=006  avg_abs_loss=0.199358  avg_rank_loss=0.046920  steps=100
epoch=007  avg_abs_loss=0.195984  avg_rank_loss=0.044660  steps=100
epoch=008  avg_abs_loss=0.199078  avg_rank_loss=0.045908  steps=100
epoch=009  avg_abs_loss=0.202393  avg_rank_loss=0.048290  steps=100
epoch=010  avg_abs_loss=0.197321  avg_rank_loss=0.044314  steps=100
epoch=011  avg_abs_loss=0.191298  avg_rank_loss=0.039556  steps=100
epoch=012  avg_abs_loss=0.192193  avg_rank_loss=0.042463  steps=100
epoch=013  avg_abs_loss=0.197266  avg_rank_loss=0.046732  steps=100
epoch=014  avg_abs_loss=0.195201  avg_rank_loss=0.044137  steps=100
epoch=015  avg_abs_loss=0.195570  avg_rank_loss=0.040031  steps=100
epoch=016  avg_abs_loss=0.190915  avg_rank_loss=0.039280  steps=100
epoch=017  avg_abs_loss=0.194045  avg_rank_loss=0.038950  steps=100
epoch=018  avg_abs_loss=0.194425  avg_rank_loss=0.045354  steps=100
epoch=019  avg_abs_loss=0.186671  avg_rank_loss=0.034967  steps=100
epoch=020  avg_abs_loss=0.200968  avg_rank_loss=0.049739  steps=100
