epoch=001  L2=0.169743  cosine=0.482394
epoch=002  L2=0.223984  cosine=0.377572
epoch=003  L2=0.288984  cosine=0.315337
epoch=004  L2=0.327897  cosine=0.267753
epoch=005  L2=0.363709  cosine=0.242158
epoch=006  L2=0.408641  cosine=0.217032
epoch=007  L2=0.438207  cosine=0.210067
epoch=008  L2=0.461365  cosine=0.209814
epoch=009  L2=0.479620  cosine=0.207331
epoch=010  L2=0.498842  cosine=0.202425
epoch=011  L2=0.522491  cosine=0.195687
epoch=012  L2=0.568813  cosine=0.179257
epoch=013  L2=0.602931  cosine=0.165639
epoch=014  L2=0.630090  cosine=0.162936
epoch=015  L2=0.693628  cosine=0.149251
epoch=016  L2=0.737055  cosine=0.141855
epoch=017  L2=0.740982  cosine=0.137980
epoch=018  L2=0.780538  cosine=0.136487
epoch=019  L2=0.813226  cosine=0.132288
epoch=020  L2=0.809344  cosine=0.131090
